candidate_id,experiment_type,scf_square_side_um,fmf_radius_um,scf_length_m,eta_free_scf_single_same_platform,monotonic_non_decreasing,min_delta_eta,mean_delta_eta,eta_single_N2,eta_group_N2,eta_over_free_single_N2,target_N2,eta_single_N4,eta_group_N4,eta_over_free_single_N4,target_N4,eta_single_N6,eta_group_N6,eta_over_free_single_N6,target_N6,eta_single_N8,eta_group_N8,eta_over_free_single_N8,target_N8,eta_single_N10,eta_group_N10,eta_over_free_single_N10,target_N10,delta_eta_N2_to_N4,delta_eta_N4_to_N6,delta_eta_N6_to_N8,delta_eta_N8_to_N10
pc_scf110_fmf16_l3p500mm,nested_site,110.0,16.0,0.0035,0.401847794110832,True,0.004291861875851641,0.06888377544072533,0.0009637983761296611,0.0009637988195351044,0.0023984164906572557,LP11y-polX,0.005255660251981303,0.005255660653606402,0.013078733612669043,LP11x-polY,0.1771113275256157,0.17711133033829135,0.4407423161734897,LP11y-polX,0.2243906712220379,0.23372098858163282,0.5741946994905431,LP11x-polX,0.27649890013903095,0.2764989049179861,0.7075347741069726,LP11x-polX,0.004291861875851641,0.1718556672736344,0.0472793436964222,0.052108228916993043
pc_scf110_fmf16_l4p250mm,nested_site,110.0,16.0,0.00425,0.39079195858326354,True,0.03670017041389212,0.04303777607780675,0.0024352255868626,0.0024352261670175894,0.006231514066182459,LP11y-polY,0.05317630981944605,0.05317631008150141,0.1323294804627272,LP11y-polX,0.09967133608039636,0.09967134146780098,0.25504960859925174,LP11y-polY,0.13788615948419747,0.14989146501689082,0.3528377604904553,LP11y-polY,0.1745863298980896,0.1745863443469532,0.4467500573221022,LP11y-polY,0.05074108423258345,0.046495026260950305,0.03821482340380111,0.03670017041389212
pc_scf110_fmf16_l5p000mm,nested_site,110.0,16.0,0.005,0.3907919585832637,True,5.761720336949772e-09,0.0342647273433834,0.004711755941402858,0.004711756978410059,0.012056941904547794,LP11y-polY,0.07786154812589445,0.07786154836580654,0.19375880437185597,LP11x-polY,0.07786155388761479,0.07786155567590522,0.19375881870992231,LP11x-polY,0.10917004335827928,0.12024552889741172,0.27167013222139,LP11x-polY,0.14177066531493646,0.14177068091199585,0.35279692309751487,LP11x-polY,0.0731497921844916,5.761720336949772e-09,0.03130848947066449,0.03260062195665718
