comparison_type,smf_count,channel_count,row_count,max_eta_single_LP11,eta_LP11_group,single_over_group,two_lobe_projection_score,two_lobe_gate_pass,LP11_crosstalk_to_other_3_modes,single_mode_dominance_dB,LP01_leakage,captured_power,reflection_estimate,residual_or_unretained,eta_free_scf_single_same_platform,eta_over_free_scf_single_same_platform,target_label,dominant_raw_lp11_index,dominant_raw_lp11_output_index,best_scf_length_m,best_scf_length_mm,best_pitch_um,best_rotation_deg,best_ring_radius_um,best_nearest_spacing_um,best_edge_margin_um,positions_um,input_gram_condition,available_rank,s_matrix_source,s_matrix_sidecar,case_label
optimized_structures,2,4,280,0.09602625035983459,0.11713525513443027,0.8197894839570723,0.8197894839570723,True,0.02110900477459568,6.579222127059089,3.1858554166095175e-26,0.11713525513443027,1.1776539375652826e-08,0.8828647330890304,0.40184779411083194,0.23896174563384562,LP11x-polY,4,4,0.005463638954,5.463638954,55.0,112.5,27.5,55.0,29.59331285594,"-10.5238,25.4067;10.5238,-25.4067",10.53270114692433,4,real_lumerical_mode_eme_length_regime_gated_validation,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_length_regime_gated_lumerical_validation\results\length_regime_gated_lumerical_validation\data\lumerical_gated_length_smatrix\pc_scf110_fmf16_l5p463639mm_butt.npz,optimized_structures_N2_L5.463639mm_p55_r112.5
optimized_structures,4,8,280,0.1637516113180188,0.1637516332105473,0.9999998663065028,0.9999998663065028,True,2.1892528512257314e-08,68.73889658154414,1.6382704483134586e-26,0.1637516332105473,1.9040201451194028e-08,0.8362483477492513,0.4018477941108319,0.40749660373363944,LP11x-polY,4,4,0.003228759867,3.228759867,60.0,0.0,42.426406871192846,60.0,12.573593128807,"42.4264,0;2.59787e-15,42.4264;-42.4264,5.19574e-15;-7.7936e-15,-42.4264",10.540893322566316,8,real_lumerical_mode_eme_continuous_length_validation,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_length_regime_gated_lumerical_validation\results\length_regime_gated_lumerical_validation\data\lumerical_gated_length_smatrix\pc_scf110_fmf16_l3p228760mm_butt.npz,optimized_structures_N4_L3.228760mm_p60_r0
optimized_structures,6,12,200,0.23407686723776505,0.23407687508712993,0.9999999664667222,0.9999999664667222,True,7.84936488029686e-09,74.74523978576416,5.848277823984934e-25,0.23407687508712993,2.532104201365223e-08,0.765923099591828,0.40184779410831317,0.582501311864045,LP11y-polX,4,4,0.003228759867,3.228759867,50.0,30.0,50.00000000000001,50.0,5.0,"43.3013,25;3.06162e-15,50;-43.3013,25;-43.3013,-25;-9.18485e-15,-50;43.3013,-25",10.53446976030908,12,real_lumerical_mode_eme_continuous_length_validation,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_length_regime_gated_lumerical_validation\results\length_regime_gated_lumerical_validation\data\lumerical_gated_length_smatrix\pc_scf110_fmf16_l3p228760mm_butt.npz,optimized_structures_N6_L3.228760mm_p50_r30
optimized_structures,8,16,85,0.27693588950397136,0.27693591540956153,0.9999999064563723,0.9999999064563723,True,2.5905590173014303e-08,70.28985751085858,2.4297918205119542e-26,0.27693591540956153,3.352873319693281e-08,0.7230640510617052,0.4018477941108319,0.6891561769469136,LP11x-polY,4,4,0.003648136249,3.648136249,35.0,0.0,45.729703770673176,35.0,9.270296229327,"45.7297,0;32.3358,32.3358;2.80014e-15,45.7297;-32.3358,32.3358;-45.7297,5.60027e-15;-32.3358,-32.3358;-8.40041e-15,-45.7297;32.3358,-32.3358",10.522108824598536,16,real_lumerical_mode_eme_continuous_length_validation,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_length_regime_gated_lumerical_validation\results\length_regime_gated_lumerical_validation\data\lumerical_gated_length_smatrix\pc_scf110_fmf16_l3p648136mm_butt.npz,optimized_structures_N8_L3.648136mm_p35_r0
optimized_structures,10,20,40,0.29772643101406754,0.2977264515266438,0.9999999311026073,0.9999999311026073,True,2.0512576248687964e-08,71.61797182951997,2.9968435749202683e-27,0.2977264515266438,3.470772324488637e-08,0.702273513765633,0.4018477941108319,0.7408935307778569,LP11x-polY,4,4,0.003228759867,3.228759867,30.0,0.0,48.54101966249685,30.0,6.458980337503,"48.541,0;39.2705,28.5317;15,46.1653;-15,46.1653;-39.2705,28.5317;-48.541,5.94456e-15;-39.2705,-28.5317;-15,-46.1653;15,-46.1653;39.2705,-28.5317",10.50342476468131,20,real_lumerical_mode_eme_continuous_length_validation,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_length_regime_gated_lumerical_validation\results\length_regime_gated_lumerical_validation\data\lumerical_gated_length_smatrix\pc_scf110_fmf16_l3p228760mm_butt.npz,optimized_structures_N10_L3.228760mm_p30_r0
