smf_count,free_rotation_eta_single_LP11,restricted_rotation_eta_single_LP11,restricted_loss_abs,restricted_loss_pct,pure_nested_mean_eta_single_LP11,pure_nested_max_eta_single_LP11,free_rotation_pitch_um,free_rotation_L_mm,free_rotation_rotation_deg,restricted_rotation_deg,target_label
2,0.09602625035983459,0.06812196099338584,0.027904289366448745,29.05902215475907,0.00270359330146504,0.004711755941402858,55.0,5.463638954,112.5,90.0,LP11x-polY
4,0.1637516113180188,0.1637516113180188,0.0,0.0,0.0454311727324406,0.07786154812589445,60.0,3.228759867,0.0,0.0,LP11x-polY
6,0.23407686723776505,0.23407686723776505,0.0,0.0,0.11821473916454228,0.1771113275256157,50.0,3.228759867,30.0,30.0,LP11y-polX
8,0.27693588950397136,0.27693588950397136,0.0,0.0,0.1571489580215049,0.2243906712220379,35.0,3.648136249,0.0,0.0,LP11x-polY
10,0.29772643101406754,0.29772643101406754,0.0,0.0,0.19761863178401898,0.27649890013903095,30.0,3.228759867,0.0,0.0,LP11x-polY
